imo,source,shipname,flag,ssvid,match_fields,transmission_from,transmission_to,is_verified
9037123,self_reported,ZHONG GANG DA LIAN,MHL,538090558,NO_MATCH,2019-12-14T09:12:33Z,2021-09-29T22:51:17Z,False
9037123,self_reported,LIAOYINGYU 35669,,415555555,NO_MATCH,2018-12-14T18:03:42Z,2022-09-21T08:08:42.25Z,False
9037123,self_reported,AS CALCUTTA,PAN,352004240,NO_MATCH,2024-07-24T02:26:50Z,2026-02-08T04:25:42Z,False
9037123,self_reported,CUTTA,NIC,350375000,NO_MATCH,2026-07-13T07:06:06Z,2026-08-08T04:22:27Z,False
9430272,registry,ALPINEETERNITY,SGP,563944000,REGISTRY,2012-01-01T02:50:20Z,2019-05-14T17:39:39Z,True
9430272,self_reported,ALPINE ETERNITY,SGP,563944000,SEVERAL_FIELDS,2012-01-01T00:52:45Z,2019-05-14T18:04:34Z,True
9430272,self_reported,JIN HUI,SYR,468121000,NO_MATCH,2026-02-27T04:09:53Z,2026-09-08T23:57:26Z,False
9430272,self_reported,YI BAO,LBR,636023392,NO_MATCH,2023-10-06T07:01:03Z,2024-07-12T07:05:29Z,False
9430272,self_reported,JIN HUI,PAN,352004196,NO_MATCH,2024-07-12T07:08:06Z,2026-02-27T04:09:53Z,False
9430272,self_reported,CELSIUS ROSKILDE,MHL,538008477,NO_MATCH,2019-05-14T18:12:36Z,2023-10-06T06:58:17Z,False
9321718,registry,CAPPHILIPPE,GRC,240546000,REGISTRY,2012-01-07T17:36:23Z,2021-08-17T02:47:23Z,True
9321718,self_reported,CAP PHILIPPE,GRC,240546000,SEVERAL_FIELDS,2012-01-01T14:33:13Z,2021-08-27T21:55:27Z,True
9321718,self_reported,ORVI,COM,620800029,NO_MATCH,2025-09-09T07:14:45Z,2026-09-08T23:47:13Z,False
9321718,registry,ZALE,PAN,352001929,REGISTRY,2025-02-16T11:22:43Z,2025-09-09T02:08:52Z,False
9321718,self_reported,IKARA,PAN,352001929,SEVERAL_FIELDS,2022-10-15T10:43:04.59Z,2025-09-09T07:07:37Z,True
9321718,self_reported,CAP PHILIPPE,LBR,636020912,NO_MATCH,2021-08-17T03:19:36Z,2022-11-09T13:35:08Z,False
9333577,registry,GENERAL HAZI ASLANOV,RUS,273430870,REGISTRY,2012-01-28T01:09:46Z,2024-08-16T10:47:09Z,True
