imo,shipname,flag,ssvid,match_fields,transmission_from,transmission_to,is_verified,days_since_last_update
9236248,FENGHUANG,CMR,613471210,NO_MATCH,2026-03-04 17:08:23+00:00,2026-03-23T08:40:01Z,False,56.0
9236248,FENGHUANG,MOZ,650000127,NO_MATCH,2026-03-23 08:45:55+00:00,2026-08-15T23:59:05Z,False,18.0
9274525,CARDINAL,MHL,538002349,REGISTRY,2012-01-04 06:57:45+00:00,2022-08-18T05:00:44Z,True,
9274525,NORDICRIO,BHS,311585000,REGISTRY,2012-01-04 07:09:10+00:00,2022-12-15T11:12:02Z,True,0.0
9274525,LXH,PAN,352002251,NO_MATCH,2022-12-15 11:17:56+00:00,2026-08-15T23:44:03Z,False,3998.0
9274525,LXH,BHS,311002021,NO_MATCH,2026-06-20 14:05:53+00:00,2026-08-15T23:48:05Z,False,1283.0
9282481,BRITISHGANNET,IMN,232150000,REGISTRY,2012-01-13 03:59:15+00:00,2018-12-12T13:10:10Z,True,
9282481,FRENCH NAVY WARSHIP,FRA,228741000,NO_MATCH,2012-03-13 17:13:44+00:00,2012-03-21T06:01:13Z,False,60.0
9282481,PIPER,MHL,538008199,NO_MATCH,2018-12-12 13:16:50+00:00,2023-02-04T23:21:30Z,False,2464.0
9282481,PRIAPUS,NIC,350002249,NO_MATCH,2023-04-03 12:56:44+00:00,2023-06-11T06:36:00Z,False,1572.0
9282481,TAGOR,PAN,352002249,REGISTRY,2024-07-06 08:23:17+00:00,2025-09-12T05:12:57Z,False,459.0
9282481,TAGOR,GIN,632001144,NO_MATCH,2025-09-15 11:54:24+00:00,2026-03-17T05:41:01Z,False,436.0
9282481,TAGOR,MDG,647260300,NO_MATCH,2026-03-17 05:45:02+00:00,2026-05-26T08:33:12Z,False,182.0
9282481,TAGOR,CMR,613442790,NO_MATCH,2026-05-26 10:02:57+00:00,2026-08-15T08:39:18Z,False,70.0
9290373,BESIKTASBOSPHORUS,TUR,271000817,REGISTRY,2012-01-01 00:19:55+00:00,2018-08-03T12:16:09Z,True,
9290373,BESIKTAS BOSPHORUS,MLT,248919000,NO_MATCH,2018-08-03 12:25:39+00:00,2022-04-21T11:24:09.5Z,False,2406.0
9290373,BESIKTAS BOSPHORUS,MHL,538009991,NO_MATCH,2022-04-21 11:30:27+00:00,2023-08-14T05:25:30Z,False,1356.0
9290373,BESIKTAS BOSPHORUS,LBR,636023264,NO_MATCH,2023-07-17 08:04:47+00:00,2024-03-15T19:17:43Z,False,451.0
9290373,KONYA,PAN,352003605,NO_MATCH,2024-02-15 18:03:05+00:00,2025-12-03T07:27:02Z,False,213.0
9290373,VELORA,SLE,667001274,NO_MATCH,2025-12-03 07:10:31+00:00,2026-08-15T23:59:41Z,False,656.0
9292199,BESIKTASDARDANELLES,TUR,271000818,REGISTRY,2012-01-03 09:28:28+00:00,2018-08-14T14:55:36Z,True,
9292199,BESIKTAS DARDANELLES,MLT,248920000,NO_MATCH,2018-08-15 12:13:15+00:00,2022-06-10T03:44:00.92Z,False,2416.0
9292199,BESIKTAS DARDANELLES,MHL,538010016,NO_MATCH,2022-06-10 03:49:19+00:00,2023-08-29T13:23:32Z,False,1394.0
9292199,BESIKTAS DARDANELLES,LBR,636021493,NO_MATCH,2023-08-29 17:15:35+00:00,2024-02-23T10:04:11Z,False,445.0
9292199,KAYSERI,PAN,352003627,NO_MATCH,2024-02-23 11:52:55+00:00,2025-12-01T06:57:06Z,False,177.0
9292199,ALTURA,SLE,667001275,NO_MATCH,2025-11-30 10:00:41+00:00,2026-07-20T08:27:10Z,False,645.0
9292199,929-21%-99%,,800929021,NO_MATCH,2025-12-10 22:24:12+00:00,2026-07-24T13:52:52Z,False,10.0
9296377,TOKYOSPIRIT,BHS,311000453,REGISTRY,2015-10-06 21:07:39+00:00,2025-04-10T11:55:16Z,True,
9296377,CHIOS,MHL,538011642,NO_MATCH,2025-04-10 12:00:35+00:00,2025-04-15T08:53:47Z,False,3473.0
9296377,MARJORIE,BRB,314001095,NO_MATCH,2025-04-15 08:56:30+00:00,2025-11-02T11:08:19Z,False,4.0
9296377,MARJORIE,VUT,577678000,NO_MATCH,2025-10-13 12:12:54+00:00,2026-05-25T11:16:20Z,False,181.0
9296377,MARJORIE,SLE,667001954,NO_MATCH,2026-05-25 11:16:29+00:00,2026-08-15T23:59:24Z,False,223.0
9297541,BONITA,GRC,240609000,REGISTRY,2012-01-01 00:08:38+00:00,2022-07-04T04:35:18Z,True,
9297541,BONITA,MHL,538009978,NO_MATCH,2022-07-04 10:51:22.410000+00:00,2025-03-04T14:20:45Z,False,3837.0
9297541,DOVE,PAN,352005301,NO_MATCH,2025-03-04 14:23:41+00:00,2026-08-15T23:53:02Z,False,974.0
9299707,NSCONCEPT,LBR,636012383,REGISTRY,2012-01-01 00:03:10+00:00,2022-05-28T15:46:05Z,False,
9299707,GUANYIN,LBR,636012383,REGISTRY,2022-05-14 08:03:04+00:00,2025-10-07T03:54:17Z,False,3786.0
9299707,GUANYIN,LBR,632001154,REGISTRY,2025-10-10 03:41:04+00:00,2025-10-10T19:51:35Z,False,1244.0
9299707,GUANYIN,MDG,647553008,NO_MATCH,2026-03-08 12:43:31+00:00,2026-06-03T05:03:18Z,False,149.0
9299707,GUANYIN,CMR,613442815,NO_MATCH,2026-06-03 05:02:25+00:00,2026-07-05T19:17:34Z,False,86.0
9306809,NCCTABUK,SAU,403581000,REGISTRY,2012-01-01 12:02:15+00:00,2024-09-12T04:09:27Z,True,
9306809,CC INNOVATOR,MHL,538011300,NO_MATCH,2024-09-12 10:30:10+00:00,2025-08-24T03:57:02Z,False,4637.0
9306809,INNOVATOR,HKG,477165100,NO_MATCH,2025-08-20 08:24:28+00:00,2026-03-21T06:31:03Z,False,341.0
9306809,LAYLA,CMR,613414703,NO_MATCH,2026-03-31 05:28:43+00:00,2026-08-15T03:37:50Z,False,222.0
9311610,MILTIADISM2,LBR,636012728,REGISTRY,2012-01-01 00:08:48+00:00,2021-08-06T08:11:24Z,True,
9311610,TORX,PAN,352005255,NO_MATCH,2025-02-21 14:29:34+00:00,2026-07-16T12:40:54Z,False,4800.0
9311610,TORX,GNQ,631010109,NO_MATCH,2026-07-16 12:50:12+00:00,2026-08-15T23:59:52Z,False,509.0
9321718,CAPPHILIPPE,GRC,240546000,REGISTRY,2012-01-07 17:36:23+00:00,2021-08-17T02:47:23Z,True,
9321718,CAP PHILIPPE,LBR,636020912,NO_MATCH,2021-08-17 03:19:36+00:00,2022-11-09T13:35:08Z,False,3509.0
9321718,ZALE,PAN,352001929,REGISTRY,2025-02-16 11:22:43+00:00,2025-09-09T02:08:52Z,False,1279.0
9321718,ORVI,COM,620800029,NO_MATCH,2025-09-09 07:14:45+00:00,2026-08-14T23:34:46Z,False,204.0
9328170,WAFRAH,KWT,447162000,REGISTRY,2012-01-08 14:12:44+00:00,2022-05-10T11:17:25Z,True,
9328170,LILA FUJAIRAH,LBR,636021839,NO_MATCH,2022-05-10 11:31:35.730000+00:00,2023-02-18T05:12:21Z,False,3774.0
9328170,AETHER,PAN,352002230,REGISTRY,2023-01-23 14:38:25+00:00,2025-10-06T11:09:01Z,False,258.0
9328170,AETHER,GIN,632001155,NO_MATCH,2025-10-06 11:17:25+00:00,2026-03-14T15:49:37Z,False,986.0
9328170,AETHER,MDG,647553007,NO_MATCH,2026-03-14 15:43:17+00:00,2026-05-19T14:51:02Z,False,159.0
9328170,AETHER,CMR,613442802,NO_MATCH,2026-05-19 14:56:47+00:00,2026-05-20T07:55:53Z,False,65.0
9328170,AETHER,CMR,613442803,NO_MATCH,2026-05-20 08:24:58+00:00,2026-08-15T23:58:03Z,False,0.0
